Time	Timestep	Episodes	AverageReturn	MaxReturn	Exploration
5.218187967936198e-05	3890000	1897	17.5	18.06	0.0891625
5.5054823557535805e-05	3900000	1901	17.64	18.06	0.08912500000000001
4.503329594930013e-05	3910000	1906	17.7	18.06	0.0890875
5.1573912302652994e-05	3920000	1911	17.72	18.06	0.08905
4.309813181559245e-05	3930000	1916	17.76	18.06	0.08901250000000001
4.775126775105794e-05	3940000	1922	17.86	18.06	0.088975
4.70121701558431e-05	3950000	1927	17.78	18.06	0.0889375
4.4675668080647785e-05	3960000	1932	17.91	18.06	0.0889
4.5871734619140626e-05	3970000	1937	17.95	18.06	0.08886250000000001
4.0543079376220706e-05	3980000	1942	17.91	18.06	0.088825
2.488295237223307e-05	3990000	1947	17.88	18.06	0.0887875
4.588762919108073e-05	4000000	1952	17.98	18.06	0.08875000000000001
3.797610600789388e-05	4010000	1956	17.91	18.06	0.0887125
3.9700667063395185e-05	4020000	1961	17.84	18.06	0.088675
4.049936930338542e-05	4030000	1966	17.88	18.06	0.08863750000000001
4.448095957438151e-05	4040000	1971	17.98	18.06	0.0886
4.606246948242187e-05	4050000	1976	17.94	18.06	0.0885625
4.780292510986328e-05	4060000	1980	17.91	18.06	0.088525
4.314978917439778e-05	4070000	1985	17.96	18.06	0.0884875
4.5228004455566404e-05	4080000	1990	17.97	18.06	0.08845
4.0642420450846355e-05	4090000	1995	17.78	18.06	0.0884125
4.976987838745117e-05	4100000	1999	17.85	18.06	0.08837500000000001
4.886786142985026e-05	4110000	2004	17.75	18.06	0.0883375
4.693269729614258e-05	4120000	2009	17.72	18.06	0.0883
4.150867462158203e-05	4130000	2013	17.68	18.06	0.08826250000000001
5.9159596761067707e-05	4140000	2018	17.6	18.06	0.088225
4.9332777659098305e-05	4150000	2023	17.69	18.06	0.0881875
4.321734110514323e-05	4160000	2028	17.73	18.06	0.08815
4.9297014872233076e-05	4170000	2034	17.73	18.06	0.08811250000000001
4.055500030517578e-05	4180000	2039	17.71	18.06	0.088075
6.679296493530273e-05	4190000	2044	17.74	18.06	0.0880375
5.088647206624349e-05	4200000	2049	17.71	18.06	0.08800000000000001
4.551410675048828e-05	4210000	2054	17.78	18.06	0.0879625
4.6145915985107425e-05	4220000	2059	17.8	18.06	0.087925
4.28001085917155e-05	4230000	2064	17.78	18.06	0.08788750000000001
